id,marketsize_bi,mktpres_hub_airline_bi,mktpres_non_hub_major_bi,mktpres_non_major_bi,hub_airline_entry,non_hub_major_entry,non_major_entry
196,1,0,1,0,0,1,1
197,1,1,1,0,1,0,0
198,1,0,1,0,1,1,1
199,1,0,1,0,0,0,1
200,1,1,1,0,1,0,1
201,0,1,0,0,1,0,1
202,0,0,0,1,0,0,1
203,0,1,0,1,1,0,0
204,1,0,0,1,0,0,1
205,0,0,1,1,0,0,1
206,1,0,0,1,0,0,1
207,1,0,1,1,0,0,1
208,0,0,0,1,0,0,1
209,0,0,0,1,0,0,1
210,1,0,0,1,0,0,1
211,0,0,1,1,0,0,1
212,0,0,0,1,0,0,1
213,0,1,0,0,0,0,1
214,0,0,0,0,1,0,0
215,1,0,0,1,1,0,1
216,1,0,0,1,0,0,1
217,0,1,1,0,0,0,1
218,0,0,1,1,0,1,1
219,0,0,1,1,0,0,1
220,1,0,0,0,0,0,1
221,0,0,0,0,1,0,1
222,1,1,0,0,1,0,0
223,1,0,0,1,0,0,1
224,1,1,1,0,1,0,0
225,1,0,0,0,0,0,1
226,1,1,1,0,0,0,1
227,1,0,1,1,1,1,1
228,0,0,1,0,0,0,0
229,0,1,0,1,1,0,0
230,0,1,1,1,0,0,1
231,0,0,1,1,0,0,1
232,0,1,1,1,0,0,1
233,0,0,0,0,0,0,1
234,1,0,1,1,0,0,1
235,0,1,1,1,1,1,1
236,1,0,1,1,1,0,1
237,1,1,0,1,0,0,1
238,1,1,1,1,1,0,1
239,1,0,0,1,0,0,1
240,1,1,1,0,0,0,1
241,1,0,1,1,0,1,1
242,0,1,1,1,1,0,0
243,1,1,1,1,1,1,0
244,0,1,1,1,1,0,0
245,1,0,0,0,0,0,1
246,1,0,0,0,0,0,1
247,1,0,1,0,0,0,1
248,1,0,0,0,0,0,1
249,1,0,0,0,0,0,1
250,1,1,0,0,0,0,1
251,0,1,0,0,0,0,1
252,0,0,0,1,0,0,1
253,0,0,0,1,0,0,1
254,0,0,0,1,0,0,1
255,1,0,0,1,0,0,1
256,1,0,1,1,0,0,1
257,1,0,0,1,1,0,1
258,1,1,0,1,1,0,0
259,0,0,1,1,0,0,1
260,1,0,1,1,0,0,1
261,0,0,1,1,0,0,1
262,0,0,1,1,0,0,1
263,0,0,1,0,0,0,1
264,1,0,0,0,0,0,1
265,1,0,0,0,0,0,1
266,0,0,1,1,0,0,1
267,0,0,0,1,0,0,1
268,1,0,0,1,1,0,1
269,0,0,0,1,0,0,1
270,1,1,1,1,1,0,1
271,0,0,1,1,0,0,1
272,1,0,0,1,1,0,1
273,0,0,1,0,0,0,1
274,1,0,1,0,0,0,1
275,1,0,1,1,1,0,1
276,1,0,0,0,0,0,1
277,1,1,1,0,1,0,1
278,0,0,0,0,0,0,1
279,0,0,1,1,0,0,1
280,0,0,0,0,0,0,1
281,0,0,0,1,0,0,1
282,1,0,1,1,1,1,1
283,0,0,1,0,1,0,1
284,1,0,1,1,0,0,1
285,0,0,0,0,0,0,1
286,1,0,0,0,0,0,1
287,0,0,1,1,0,0,1
288,0,0,1,1,0,0,1
289,0,0,1,1,1,0,1
290,0,0,0,1,0,0,1
291,1,0,0,1,0,0,1
292,1,1,1,1,1,0,1
293,0,1,0,1,1,0,0
294,0,0,1,1,0,0,1
295,1,0,0,0,0,0,1
296,0,0,0,1,0,0,1
297,1,0,1,0,1,0,1
298,0,0,0,1,0,0,1
299,1,0,0,1,1,0,1
300,0,1,1,1,1,0,1
301,0,0,1,0,0,0,1
302,0,0,1,0,0,0,1
303,1,1,1,1,1,0,1
304,0,1,1,0,1,0,1
305,0,1,1,0,1,0,1
306,0,0,1,0,0,0,1
307,1,0,0,0,0,0,1
308,1,1,0,1,1,0,1
309,0,1,1,0,1,0,1
310,0,0,0,0,0,0,1
311,0,0,1,1,0,0,1
312,0,1,0,0,1,0,1
313,1,0,0,1,1,0,1
314,1,1,0,1,1,0,1
315,1,0,0,1,1,0,1
316,0,0,1,0,0,0,1
317,0,1,1,0,1,0,1
318,0,1,1,1,1,0,1
319,1,0,0,0,0,0,1
320,1,1,1,0,1,0,1
321,0,0,0,0,0,0,1
322,0,1,1,1,1,0,1
323,1,0,0,0,0,0,1
324,0,0,0,0,0,0,1
325,0,1,0,0,1,0,1
326,1,1,0,1,1,0,1
327,0,1,0,1,1,0,1
328,0,1,1,0,1,0,0
329,0,1,1,1,1,0,1
330,0,0,1,0,0,0,1
331,0,1,1,1,1,0,1
332,0,1,0,1,1,0,1
333,0,1,1,1,1,0,1
334,0,1,1,0,1,0,1
335,0,1,1,0,1,0,1
336,0,0,0,1,0,0,1
337,0,0,0,0,0,0,1
338,1,1,0,1,1,0,1
339,1,1,1,1,1,0,1
340,0,0,0,1,0,0,1
341,1,1,0,0,1,0,1
342,0,1,0,1,1,0,1
343,0,1,1,0,1,0,1
344,1,1,1,0,1,0,1
345,0,1,1,1,1,0,0
346,0,0,0,0,0,0,1
347,0,1,1,0,1,0,1
348,0,1,1,0,1,0,1
349,0,1,1,0,1,0,1
350,0,0,1,1,0,0,1
351,0,1,1,1,1,0,1
352,0,1,1,0,1,0,1
353,0,1,0,0,1,0,0
354,1,1,1,1,1,0,1
355,0,0,0,1,0,0,1
356,0,1,1,0,1,0,1
357,0,1,1,0,1,0,1
358,0,0,1,1,0,0,1
359,0,1,1,0,1,0,0
360,1,0,0,0,0,0,1
361,1,1,1,1,1,0,1
362,0,1,1,0,1,0,1
363,1,1,0,0,1,0,0
364,0,0,1,1,0,0,1
365,0,1,0,0,1,0,1
366,1,1,0,1,1,0,1
367,1,1,1,1,1,0,1
368,0,0,1,1,0,0,1
369,1,1,0,1,1,0,1
370,0,0,1,0,0,0,1
371,1,1,0,0,1,0,1
372,1,1,1,1,1,0,1
373,0,0,0,1,0,0,1
374,1,1,0,0,1,0,0
375,1,1,0,0,1,0,1
376,0,0,1,1,0,0,1
377,0,1,1,1,1,0,1
378,1,1,0,0,1,0,0
379,0,1,0,0,1,0,1
380,0,1,0,0,1,0,1
381,1,1,1,1,1,1,1
382,1,1,1,0,1,0,0
383,0,1,1,0,1,0,0
384,1,1,1,1,1,0,1
385,0,1,0,0,1,0,1
386,0,1,1,0,1,0,0
387,0,1,1,1,1,0,0
388,0,1,1,1,1,0,1
389,1,1,0,0,1,0,0
390,1,1,1,0,1,0,0
391,0,0,0,1,0,0,1
392,0,1,0,0,1,0,1
393,1,1,0,1,1,0,1
394,1,1,1,1,1,0,1
395,0,0,0,1,0,0,1
396,1,1,0,0,1,0,0
397,0,1,0,1,1,0,1
398,1,1,1,0,1,0,0
399,1,1,1,0,1,0,0
400,0,0,1,1,0,0,1
401,1,1,0,0,1,0,1
402,1,1,1,0,1,0,1
403,0,1,0,0,1,0,1
404,0,1,0,0,1,0,0
405,0,0,0,1,0,0,1
406,1,0,1,1,0,0,1
407,0,0,1,1,0,1,1
408,0,1,1,1,0,0,1
409,1,0,1,0,0,0,1
410,0,0,1,0,0,0,1
411,0,1,0,0,0,0,1
412,1,0,1,1,0,0,1
413,0,0,0,1,0,0,1
414,1,0,0,1,1,0,1
415,1,1,1,1,0,0,1
416,1,0,0,1,1,0,1
417,1,0,1,1,1,1,1
418,1,0,1,1,0,0,1
419,1,1,1,1,1,0,1
420,0,1,0,1,1,0,1
421,1,0,1,1,0,0,1
422,0,0,1,1,0,0,1
423,0,1,1,0,1,0,1
424,0,0,1,1,0,1,0
425,0,1,1,0,1,0,1
426,0,1,1,0,0,0,1
427,0,1,0,0,1,0,1
428,1,0,0,1,0,0,1
429,0,0,1,0,0,0,1
430,0,0,1,1,0,1,1
431,1,0,0,1,0,0,1
432,0,0,0,1,0,0,1
433,0,0,1,1,0,0,1
434,1,0,0,1,0,0,1
435,0,0,0,0,0,0,1
436,0,0,1,1,0,0,1
437,1,0,0,0,0,0,1
438,1,0,1,0,0,0,1
439,1,0,0,0,0,0,1
440,1,0,0,0,0,0,1
441,0,1,0,0,0,0,1
442,1,0,1,1,0,0,1
443,1,0,1,1,1,1,1
444,1,0,1,1,0,0,1
445,1,1,1,0,0,1,0
446,1,0,1,1,0,1,1
447,1,0,1,1,1,1,1
448,1,1,1,1,1,0,1
449,0,1,1,1,1,0,0
450,0,0,1,0,0,0,1
451,0,0,0,0,0,0,1
452,1,1,0,1,0,0,1
453,1,1,1,0,1,0,1
454,1,0,0,1,0,0,1
455,1,1,1,0,0,0,1
456,1,0,1,1,1,0,1
457,0,1,1,1,1,0,1
458,0,1,1,0,1,0,0
459,0,1,0,0,1,0,0
460,0,0,1,1,0,0,1
461,1,1,1,1,1,0,1
462,1,0,1,1,0,0,1
463,0,1,1,0,0,0,1
464,1,0,1,1,1,1,1
465,1,1,1,1,1,0,1
466,1,1,0,1,1,0,1
467,1,1,0,0,1,0,0
468,1,1,0,1,1,0,1
469,1,1,0,0,0,0,1
470,1,1,1,1,1,0,1
471,1,1,1,1,0,0,1
472,1,1,0,0,1,0,1
473,1,1,0,1,1,0,1
474,1,1,0,1,1,0,1
475,1,1,1,1,0,0,1
476,1,1,0,1,0,0,1
477,1,1,0,1,1,0,1
478,1,1,0,1,1,0,1
479,1,1,0,0,1,0,0
480,1,1,0,1,1,0,1
481,1,1,0,1,1,0,1
482,1,1,0,0,1,0,1
483,1,1,0,1,1,0,1
484,1,1,1,0,0,0,1
485,1,1,1,0,1,0,0
486,1,1,0,1,0,0,1
487,1,1,0,0,1,0,1
488,0,0,1,1,0,0,1
489,1,0,1,0,1,0,1
490,1,1,1,1,1,1,1
491,1,0,1,0,0,0,1
492,1,1,1,0,1,0,0
493,1,0,1,0,0,0,1
494,1,1,1,1,1,0,1
495,1,0,1,0,0,0,1
496,1,0,1,0,0,0,1
497,1,0,1,0,0,0,1
498,1,1,1,1,1,1,1
499,1,0,1,1,1,0,1
500,1,1,1,0,1,0,0
501,1,0,1,0,1,0,1
502,1,1,1,0,1,0,1
503,0,0,1,1,0,0,1
504,1,1,1,1,1,1,1
505,1,1,0,1,1,0,1
506,1,0,1,0,0,0,1
507,1,1,1,1,1,0,1
508,1,0,1,0,1,1,1
509,1,0,1,0,1,0,1
510,1,0,1,0,1,0,1
511,1,0,1,0,0,0,1
512,1,1,1,0,1,0,1
513,1,0,0,1,0,0,1
514,0,0,1,1,0,0,1
515,1,0,0,0,0,0,1
516,1,1,0,1,1,0,1
517,1,0,0,0,0,0,1
518,1,1,0,1,1,0,1
519,1,0,0,0,0,0,1
520,1,0,0,1,1,0,1
521,1,0,0,1,0,0,1
522,1,0,1,1,1,1,1
523,1,0,1,1,0,0,1
524,1,1,1,0,1,0,1
525,1,1,0,1,0,0,1
526,1,0,1,1,0,0,1
527,1,0,0,1,0,0,1
528,1,0,0,1,1,0,1
529,1,0,0,1,0,0,1
530,1,0,1,1,1,0,1
531,1,0,0,0,0,0,1
532,1,0,0,1,0,0,1
533,1,0,0,0,1,0,1
534,1,0,0,1,0,0,1
535,0,0,1,1,0,0,1
536,0,0,1,1,0,0,1
537,1,1,1,0,0,0,1
538,1,0,1,0,1,1,1
539,0,0,0,0,0,0,1
540,1,1,1,0,0,0,1
541,0,1,0,0,1,0,1
542,1,1,1,0,1,0,0
543,1,0,1,1,1,1,1
544,0,0,0,1,1,0,1
545,0,1,1,1,1,0,1
546,0,1,0,0,1,0,1
547,0,0,1,0,0,0,1
548,1,0,0,0,0,0,1
549,1,1,0,0,0,0,1
550,1,1,0,0,0,0,1
551,0,1,1,0,1,0,1
552,0,1,1,0,0,0,1
553,1,1,1,1,1,1,1
554,1,1,1,0,0,0,1
555,0,1,0,0,0,0,1
556,1,1,0,0,1,0,0
557,0,1,1,0,1,0,1
558,0,1,1,0,0,0,1
559,0,1,1,1,0,0,1
560,1,1,1,0,1,0,0
561,1,1,1,0,1,0,0
562,0,1,0,0,0,0,1
563,1,1,1,1,1,0,0
564,1,1,0,1,1,0,0
565,1,1,0,0,1,0,1
566,1,1,1,0,1,0,0
567,0,0,0,1,0,0,1
568,1,0,1,1,0,0,1
569,0,0,0,1,0,0,1
570,0,1,0,1,0,0,1
571,1,0,1,1,1,1,1
572,0,0,1,0,1,0,1
573,0,1,1,0,1,0,1
574,0,1,1,0,1,0,0
575,1,0,0,0,0,0,1
576,0,1,0,0,1,0,1
577,1,0,1,1,0,0,1
578,0,0,0,1,0,0,1
579,0,1,0,1,0,0,1
580,0,1,0,0,0,0,1
581,0,0,1,1,0,1,1
582,0,0,1,1,0,0,1
583,0,1,0,1,1,0,1
584,0,1,1,1,0,0,1
585,1,1,0,1,1,0,1
586,1,1,1,0,1,0,1
587,1,1,1,1,1,0,1
588,0,0,0,0,0,0,1
589,1,0,0,0,0,0,1
590,1,1,1,1,1,0,1
591,1,1,0,1,1,0,1
592,1,1,1,0,1,0,1
593,0,1,1,1,1,0,1
594,1,1,0,0,1,0,1
595,1,1,0,0,1,0,1
596,1,0,0,0,0,0,1
597,1,1,0,1,1,0,1
598,1,1,1,1,1,0,1
599,1,1,0,0,1,0,0
600,1,1,0,1,1,0,1
601,1,1,1,0,1,0,0
602,1,1,1,0,1,0,0
603,0,1,1,1,1,0,1
604,1,0,0,0,1,0,1
605,0,1,0,1,1,0,1
606,0,0,0,1,0,0,1
607,1,1,1,0,1,0,1
608,1,1,1,0,0,0,1
609,1,1,1,0,1,0,1
610,0,0,0,1,0,0,1
611,0,1,1,1,1,0,1
612,1,1,1,1,1,0,1
613,0,1,0,1,1,0,1
614,0,1,1,1,1,0,1
615,0,1,1,1,1,0,1
616,0,1,1,0,1,0,0
617,0,1,0,1,0,0,1
618,1,1,1,1,1,0,1
619,1,1,1,1,1,0,1
620,0,1,0,1,1,0,1
621,0,0,0,1,0,0,1
622,0,1,1,0,0,0,1
623,0,1,0,0,1,0,1
624,0,0,0,1,0,0,1
625,0,1,0,1,0,0,1
626,1,1,0,1,1,0,1
627,1,0,1,1,0,0,1
628,0,1,1,1,1,0,1
629,0,0,1,0,0,0,1
630,1,0,1,0,0,0,1
631,1,0,0,0,0,0,1
632,0,0,1,1,0,0,1
633,0,0,1,1,1,0,1
634,0,1,0,1,1,0,1
635,1,1,1,0,1,0,1
636,1,0,1,0,0,0,1
637,1,1,1,0,1,0,0
638,0,1,1,0,0,0,1
639,0,1,0,0,1,0,1
640,0,1,1,0,1,0,1
641,1,1,1,0,1,0,0
642,0,0,0,0,0,0,1
643,0,1,0,0,1,0,0
644,0,1,0,0,0,0,1
645,0,1,1,0,0,0,1
